Wave Data provided @ 15:15hrs on 10-02-2024
Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Caloundra,54,1706882400,2024-02-03T00:00:00,-26.84650,153.15459,0.793,1.170,7.140,5.063,28.10,90.00,-99.90,-99.90
Caloundra,54,1706884200,2024-02-03T00:30:00,-26.84651,153.15463,0.846,1.550,6.670,5.063,28.05,80.20,-99.90,-99.90
Caloundra,54,1706886000,2024-02-03T01:00:00,-26.84650,153.15459,0.835,1.480,7.140,5.195,28.05,85.80,-99.90,-99.90
Caloundra,54,1706887800,2024-02-03T01:30:00,-26.84647,153.15450,0.838,1.500,7.690,5.405,28.15,74.50,-99.90,-99.90
Caloundra,54,1706889600,2024-02-03T02:00:00,-26.84646,153.15452,0.910,1.480,7.140,5.634,28.10,75.90,-99.90,-99.90
Caloundra,54,1706891400,2024-02-03T02:30:00,-26.84643,153.15448,0.875,1.410,7.140,5.714,28.05,77.30,-99.90,-99.90
Caloundra,54,1706893200,2024-02-03T03:00:00,-26.84643,153.15446,0.895,1.510,6.670,5.714,27.95,87.20,-99.90,-99.90
Caloundra,54,1706895000,2024-02-03T03:30:00,-26.84641,153.15446,0.892,1.590,7.140,5.970,27.85,77.30,-99.90,-99.90
Caloundra,54,1706896800,2024-02-03T04:00:00,-26.84640,153.15444,0.879,1.640,7.690,6.154,27.75,67.50,-99.90,-99.90
Caloundra,54,1706898600,2024-02-03T04:30:00,-26.84639,153.15444,0.952,1.670,7.140,5.970,27.80,77.30,-99.90,-99.90
Caloundra,54,1706900400,2024-02-03T05:00:00,-26.84629,153.15450,0.926,1.730,7.140,6.154,27.85,74.50,-99.90,-99.90
Caloundra,54,1706902200,2024-02-03T05:30:00,-26.84618,153.15448,1.032,1.560,7.690,6.250,27.85,77.30,-99.90,-99.90
Caloundra,54,1706904000,2024-02-03T06:00:00,-26.84602,153.15446,0.873,1.690,7.690,6.349,27.90,70.30,-99.90,-99.90
Caloundra,54,1706905800,2024-02-03T06:30:00,-26.84579,153.15446,0.948,1.880,8.330,6.154,27.90,68.90,-99.90,-99.90
Caloundra,54,1706907600,2024-02-03T07:00:00,-26.84570,153.15450,0.903,1.600,7.690,6.154,27.90,71.70,-99.90,-99.90
Caloundra,54,1706909400,2024-02-03T07:30:00,-26.84567,153.15456,1.020,1.770,7.140,5.970,27.95,68.90,-99.90,-99.90
Caloundra,54,1706911200,2024-02-03T08:00:00,-26.84566,153.15456,0.943,1.460,7.690,6.349,28.00,67.50,-99.90,-99.90
Caloundra,54,1706913000,2024-02-03T08:30:00,-26.84566,153.15454,0.921,1.470,7.690,6.061,28.10,67.50,-99.90,-99.90
Caloundra,54,1706914800,2024-02-03T09:00:00,-26.84567,153.15452,0.896,1.350,7.690,5.970,28.15,70.30,-99.90,-99.90
Caloundra,54,1706916600,2024-02-03T09:30:00,-26.84563,153.15448,0.947,1.980,7.690,5.970,28.25,71.70,-99.90,-99.90
Caloundra,54,1706918400,2024-02-03T10:00:00,-26.84566,153.15444,0.832,1.280,7.690,5.882,28.35,78.80,-99.90,-99.90
Caloundra,54,1706920200,2024-02-03T10:30:00,-26.84574,153.15433,0.926,1.490,7.690,5.714,28.40,75.90,-99.90,-99.90
Caloundra,54,1706922000,2024-02-03T11:00:00,-26.84591,153.15416,0.992,2.090,7.140,5.556,28.40,70.30,-99.90,-99.90
Caloundra,54,1706923800,2024-02-03T11:30:00,-26.84612,153.15411,0.884,1.610,7.140,5.556,28.50,77.30,-99.90,-99.90
Caloundra,54,1706925600,2024-02-03T12:00:00,-26.84634,153.15420,0.934,1.400,7.690,5.333,28.65,75.90,-99.90,-99.90
Caloundra,54,1706927400,2024-02-03T12:30:00,-26.84643,153.15431,0.868,1.680,7.690,5.405,28.50,74.50,-99.90,-99.90
Caloundra,54,1706929200,2024-02-03T13:00:00,-26.84649,153.15437,0.825,1.320,7.690,5.405,28.60,70.30,-99.90,-99.90
Caloundra,54,1706931000,2024-02-03T13:30:00,-26.84650,153.15441,0.914,1.650,7.690,5.333,28.80,68.90,-99.90,-99.90
Caloundra,54,1706932800,2024-02-03T14:00:00,-26.84647,153.15435,0.949,1.690,7.140,5.479,28.85,77.30,-99.90,-99.90
Caloundra,54,1706934600,2024-02-03T14:30:00,-26.84644,153.15433,0.885,1.210,7.140,5.634,28.80,78.80,-99.90,-99.90
Caloundra,54,1706936400,2024-02-03T15:00:00,-26.84644,153.15428,0.927,1.540,7.140,5.479,28.70,80.20,-99.90,-99.90
Caloundra,54,1706938200,2024-02-03T15:30:00,-26.84640,153.15426,0.829,1.240,7.690,5.634,28.80,80.20,-99.90,-99.90
Caloundra,54,1706940000,2024-02-03T16:00:00,-26.84635,153.15426,0.900,1.520,8.330,5.556,28.80,71.70,-99.90,-99.90
Caloundra,54,1706941800,2024-02-03T16:30:00,-26.84625,153.15426,0.874,1.390,8.330,5.634,28.80,71.70,-99.90,-99.90
Caloundra,54,1706943600,2024-02-03T17:00:00,-26.84610,153.15426,0.955,1.670,7.690,5.479,28.80,74.50,-99.90,-99.90
Caloundra,54,1706945400,2024-02-03T17:30:00,-26.84584,153.15428,0.960,1.520,7.140,5.556,28.70,80.20,-99.90,-99.90
Caloundra,54,1706947200,2024-02-03T18:00:00,-26.84564,153.15452,0.963,1.620,7.690,5.479,28.70,64.70,-99.90,-99.90
Caloundra,54,1706949000,2024-02-03T18:30:00,-26.84563,153.15474,0.972,1.680,7.690,5.405,28.65,63.30,-99.90,-99.90
Caloundra,54,1706950800,2024-02-03T19:00:00,-26.84563,153.15478,0.936,1.450,7.690,5.405,28.70,70.30,-99.90,-99.90
Caloundra,54,1706952600,2024-02-03T19:30:00,-26.84563,153.15480,0.892,1.720,7.690,5.333,28.65,67.50,-99.90,-99.90
Caloundra,54,1706954400,2024-02-03T20:00:00,-26.84561,153.15478,0.961,1.460,7.690,5.000,28.60,60.50,-99.90,-99.90
Caloundra,54,1706956200,2024-02-03T20:30:00,-26.84561,153.15471,0.942,1.630,7.690,5.128,28.60,61.90,-99.90,-99.90
Caloundra,54,1706958000,2024-02-03T21:00:00,-26.84562,153.15467,0.943,1.500,7.690,5.128,28.60,63.30,-99.90,-99.90
Caloundra,54,1706959800,2024-02-03T21:30:00,-26.84562,153.15467,0.892,1.540,7.690,5.063,28.55,60.50,-99.90,-99.90
Caloundra,54,1706961600,2024-02-03T22:00:00,-26.84564,153.15465,0.944,1.550,7.690,5.000,28.90,70.30,-99.90,-99.90
